There is no tabular data in this document.
csv
Adopted 2021,page
JOURNALISM,3
SPEECH AND DEBATE,9

# Adopted 2023
Adopted 2023,page
CREATIVE WRITING AND LITERARY MAGAZINE,15
HUMANITIES,19
PROFESSIONAL & TECHNICAL COMMUNICATION,21

# Adopted 2024
Adopted 2024,page
MYTHOLOGY,23
There is no tabular data in this image.
csv
# Table: Utah State Board of Education

District,Name,City
District 1,Jennie L. Earl,Morgan, UT
District 2,Scott L. Hansen,Liberty, UT
District 3,Matt Hymas,"Stansbury Park, UT"
District 4,Brent J. Strate,"South Ogden, UT"
District 5,Laura Belnap,Bountiful, UT
District 6,Stacey Hutchings,Kearns, UT
District 7,Carol Barlow Lear,"Salt Lake City, UT"
District 8,Janet A. Cannon,Holladay, UT
District 9,Cindy Davis,"Cedar Hills, UT"
District 10,Molly Hart,Sandy, UT
District 11,Natalie Cline,Bluffdale, UT
District 12,James Moss Jr.,Midway, UT
District 13,Randy Boothe,"Spanish Fork, UT"
District 14,Mark Huntsman,Fillmore, UT
District 15,Kristan Norton,"St. George, UT"
,Sydnee Dickson,State Superintendent of Public Instruction
,Lorraine Austin,Secretary to the Board
csv
Strand,Standard,Description
1: Law & Ethics,1.1,Analyze and understand student expression under the First Amendment including protections and limitations including school district publication policies.
1: Law & Ethics,1.2,"Analyze laws, ethics, and landmark cases specific to journalism."
1: Law & Ethics,1.3,Apply the rulings to both practice and real-life situations specific to the school community and publication(s).
1: Law & Ethics,1.4,Research and evaluate the role of a free and independent media within a democratic society.
1: Law & Ethics,1.5,Seek perspectives and variety in the human experience.

# Strand 2: Media Literacy
Strand,Standard,Description
2: Media Literacy,2.1,"Critically analyze content found in print and digital media used to inform, persuade, entertain, and transmit social information."
2: Media Literacy,2.2,Evaluate how visual techniques or design elements carry or influence messages in various media.
2: Media Literacy,2.3,Analyze the impact of social media on trends and public opinion.
2: Media Literacy,2.4,Identify emotional appeals and logic fallacies. Distinguish writing intended as objective from that intended at subjective.
2: Media Literacy,2.5,Identify choices content producers make while constructing media. Evaluate how choices contribute to the impact on the audience.
csv
Standard,Description
Standard 2.6,Compare and contrast coverage of the same news stories in a variety of print and digital media.
Standard 2.7,Evaluate the credibility of sources in a variety of print and digital media stories.

# Strand 3: Reporting & Writing Process
Standard,Description
Standard 3.1,Compose and evaluate interview questions for written or broadcast journalism.
Standard 3.2,"Gather information from multiple, reliable sources and evaluate this information for relevance, accuracy, and completeness."
Standard 3.3,"Research using current reporting tools, from advanced Google searches to data journalism."
Standard 3.4,Write journalistically sound headlines and captions.
Standard 3.5,"Use direct and indirect quotes in copy with appropriate attribution (e.g., punctuation, identification, verb choice)."
