There is no tabular data in this image.
There is no tabular data in this image.
There is no tabular data in this image.
csv
# Table: CONCEPTS AND SKILLS TO MASTER
CONCEPTS AND SKILLS TO MASTER
Read for comprehension.
"Respectfully acknowledge comments, claims, and evidence."
"Identify contradictions, and respond or ask a question respectfully."
Pose questions.
Justify responses with reasons and elaboration.
csv
Standard,Description
3.SL.1,"Participate effectively in a range of conversations and collaborations, using age-appropriate vocabulary, on topics, texts, and issues.
a. Respectfully acknowledge and respond to others' perspectives during discussions.
b. Recognize that comments and claims may include two perspectives.
c. Participate in conversations by asking questions, acknowledging new information, connecting responses, and keeping the discussion on topic."

# RELATED STANDARDS: Current Grade Level
Standard,Description
6.SL.2,Interpret credible information presented in various formats and mediums to make informed decisions.
6.R.11,"Explain how an author's perspective develops the point of view of the narrator or speaker in multiple texts. (RL)
Analyze how the author distinguishes a perspective and/or position from that of others. (RI)"
6.R.13,"Not applicable to RL.
Evaluate the argument and specific claims in a text, distinguishing claims that are supported by reasons and evidence from claims that are not. (RI)"
6.W.1,"Write arguments to support claims with clear reasons and relevant evidence, and provide a concluding section related to the argument presented.
a. Introduce claims supported by evidence from credible sources, and create an organizational structure in which claims are logically grouped to support the writer's purpose.
b. Use words, phrases, and clauses to clarify the relationships among claims and evidence.
c. Use appropriate conventions and style for the audience, purpose, and task"

# RELATED STANDARDS: Future Grade Level
Standard,Description
7-8.SL.1,"Participate effectively in a range of conversations and collaborations on topics, texts, and issues.
a. Respond thoughtfully in democratic discussions that involve decision-making and role-taking and determine if additional information or research is required to deepen the discussion."
csv
Standard,Description
Standard 7-8.R.13,"Not applicable to RL. Evaluate an argument and specific claims in a text, assessing the validity of key statements by examining whether the supporting evidence is relevant and sufficient. (RI)"

# Table: ACADEMIC LANGUAGE
ACADEMIC LANGUAGE
"Respectfully, acknowledge, perspectives, contradictions, qualify, and justify"

# Table: ASSESSMENT EXEMPLARS
ASSESSMENT EXEMPLARS
Participate in a collaboration or conversation using a discussion rubric.

# Table: 6.SL.2
Standard,Description
Standard 6.SL.2,Interpret credible information presented in various formats and mediums to make informed decisions.

# Table: CONCEPTS AND SKILLS TO MASTER
CONCEPTS AND SKILLS TO MASTER
Read or listen to text to gather information.
Evaluate sources.
Make informed decisions.

# Table: CRITICAL BACKGROUND KNOWLEDGE
Standard,Description
Standard 4.SL.2,Clearly summarize information presented in various formats and mediums and explain how the information pertains to the topic.
Standard 5.SL.2,Investigate information presented in various formats and mediums in order to make informed decisions and differentiate between fact and fiction

# Table: RELATED STANDARDS: Current Grade Level
Standard,Description
