There is no tabular data in this image.
csv
# Table: District Information
District,Name,City
District 1,Jennie L. Earl,"Morgan, UT"
District 2,Joseph Kerry,"Ogden, UT"
District 3,Brent Strate,"South Ogden, UT"
District 4,Leann Wood,"Kaysville, UT"
District 5,Sarah Reale,"Salt Lake City, UT"
District 6,Carol Barlow Lear,"Salt Lake City, UT"
District 7,Molly Hart,"Sandy, UT"
District 8,Christina Boggess,"Taylorsville, UT"
District 9,Natalie Cline,"Bluffdale, UT"
District 10,Matt Hymas,"Magna, UT"
District 11,Cindy Davis,"Cedar Hills, UT"
District 12,James Moss Jr.,"Midway, UT"
District 13,Randy Boothe,"Spanish Fork, UT"
District 14,Emily Green,"Cedar City, UT"
District 15,Kristan Norton,"St. George, UT"
,Sydnee Dickson,"State Superintendent
of Public Instruction"
,Cybil Child,Secretary to the Board
csv
,
INTRODUCTION,ix
Standards: PRESCHOOL-AGE 3,.1
Standards: PRESCHOOL-AGE 4,.4
Standards: KINDERGARTEN.,.7
Standards: GRADE 1,10
Standards: GRADE 2,13
Standards: GRADE 3,17
Standards: GRADE 4,21
Standards: GRADE 5,25
Standards: GRADE 6,29
Standards: GRADES 7-8,33
Standards: GRADES 9-10,37
Standards: GRADES 11-12,42
There is no tabular data in this image.
csv
# Speech Development Progression Chart
2,3,4,5,6,7,8
/p/ as in pop,,,,,,
/m/ as in met,,,,,,
/h/ as in hot,,,,,,
/n/ as in no,,,,,,
/w/ as in will,,,,,,
/b/ as in book,,,,,,
/k/ as in cab,,,,,,
/g/ as in got,,,,,,
/d/ as in dock,,,,,,
/t/ as in tap,,,,,,
/ng/ as in sing,,,,,,
/f/ as in fill/reef,,,,,,
/y/ as in you,,,,,,
/r/ as in red,,,,,,
/l/ as in leak/hill,,,,,,
/s/ as in sun,,,,,,
csv
# Table: Phonetic Sounds
2,3,4,5,6,7,8
,,/ch/ as in chop,,,
,,/sh/ as in shock,,,
,,/z/ as in zoom,,,
,,/j/ as in jump,,,
,,/v/ as in van,/th/ as in think,,,
,,,/th/as in the,/zh/as in beige,,
csv
# Table: Text Complexity Grade Bands and Associated Lexile Ranges
Text Complexity Grade Band,Lexile Range
K-1,N/A
2-3,450-790
4-5,770-980
6-8,955-1155
9-10,1080-1305
11-12,1215-1355
csv
# Strand 1: SPEAKING AND LISTENING (P3.SL)
Standard,Description
P3.SL.1,"With prompting and support, participate in conversations with peers and adults.
a. Begin to recognize rules for discussion such as listening to others, staying on topic, and taking turns speaking.
b. Follow one-step directions."
P3.SL.2,"With prompting and support, speak clearly and audibly enough to be understood by familiar adults to communicate wants and needs."
P3.SL.3,"With prompting and support, use age-appropriate language, grammar, volume, and pronunciation when speaking or presenting."

# Strand 2: READING (P3.R)
Standard,Description
P3.R.1,"Demonstrate mastery of age-appropriate concepts of print.
a. With prompting and support, correctly hold a book and recognize that print is read from top to bottom, left to right, and from front to back.
b. With prompting and support, begin to recognize frequently seen letters and words, and recognize own name in print."
P3.R.2,Demonstrate mastery of age-appropriate phonological awareness skills.
csv
Standard,Description
Standard P3.R.3,Demonstrate mastery of age-appropriate phonics skills.
Standard P3.R.3,"a. With prompting and support, begin to identify seven or more consonant names and sounds using one-to-one letter-sound correspondence (alphabetic principle)."
Standard P3.R.3,"b. With prompting and support, begin to identify one or more vowel names and short vowel sounds using one-to-one letter-sound correspondence (alphabetic principle)."
Standard P3.R.4,Begins in kindergarten.
Standard P3.R.5,"With prompting and support, ask and answer simple questions about a text. (RL & RI)"
Standard P3.R.6-7,"With prompting and support, begin to retell simple texts. (RL & RI)"
Standard P3.R.8,Begins in P4.
Standard P3.R.9,Begins in kindergarten.
Standard P3.R.10,Begins in grade 1.
Standard P3.R.11,Begins in grade 4.
Standard P3.R.12,Begins in grade 2.
Standard P3.R.13,Begins in grade 2.
Standard P3.R.14,Begins in grade 2.
Standard P3.W.1-3,"With prompting and support, begin to experiment with speaking and writing while representing ideas visually (e.g., scribbles, stamps, stickers, or gluing pictures on paper)."
Standard P3.W.4,Participate in shared writing projects.
Standard P3.W.4,"a. With prompting and support, recall information from"
Standard,Description
P3.W.5,"With prompting and support, print some age-appropriate prewriting strokes."
csv
,,
# Strand 1: SPEAKING AND LISTENING (P4.SL)
Standard P4.SL.1,"Participate in conversations with peers and adults, using age-appropriate vocabulary on topics and texts.
a. Follow agreed-upon rules for discussions such as listening to others, staying on topic, and taking turns speaking.
b. Follow two-step directions.
c. Express own ideas.",
Standard P4.SL.2,"Speak clearly and audibly in sentences of varying lengths to communicate wants, needs, experiences, thoughts, and emotions.",
Standard P4.SL.3,"Use age-appropriate language, grammar, volume, and pronunciation when speaking or presenting.",

# Strand 2: READING (P4.R)
Standard P4.R.1,"Demonstrate mastery of age-appropriate concepts of print.
a. Correctly hold a book and demonstrate that print is read from top to bottom, left to right, and from front to back.
b. Begin to identify frequently seen letters and words, recognizing that words are made up of letters.",
Standard P4.R.2,"Demonstrate mastery of age-appropriate phonological awareness skills.
a. Recognize rhyming words and alliteration.
b. With prompting and support, segment words into syllables.",
csv
Standard,Description
Standard P4.R.3,Demonstrate mastery of age-appropriate phonics skills.
,a. Identify 13 or more of the consonant names and sounds using one-to-one letter-sound correspondence (alphabetic principle).
,b. Identify three or more vowel names and short vowel sounds using one-to-one letter-sound correspondence (alphabetic principle).
Standard P4.R.4,Begins in kindergarten.
Standard P4.R.5,"With prompting and support, ask and answer questions and make connections about a text. (RL & RI)"
Standard P4.R.6-7,"With prompting and support, retell simple texts, including event sequence and characters. (RL & RI)"
Standard P4.R.8,"With prompting and support, begin to ask and answer questions about unknown words in a text. (RL & RI)"
Standard P4.R.9,Begins in kindergarten.
Standard P4.R.10,Begins in grade 1.
Standard P4.R.11,Begins in grade 4.
Standard P4.R.12,Begins in grade 2.
Standard P4.R.13,Begins in grade 2.
Standard P4.R.14,Begins in grade 2.
Standard P4.W.1,"Verbally share an opinion and visually represent that opinion using simple drawing and writing (e.g., scribble writing with letter-like formations)."
Standard P4.W.2,Verbally share information and visually represent that
csv
Standard,Description
Standard P4.W.3,"Verbally share a narrative and visually represent that narrative using simple drawing and writing (e.g., scribble writing with letter-like formations)."
Standard P4.W.4,Participate in shared writing projects. a. Recall information from experiences or learned information and share it with others. b. Interact and collaborate with others.
Standard P4.W.5,"Print some mock letters, scribbles, or manuscript letters, including those in own name."
csv
Standard,Description
Standard K.SL.1,"Participate in a range of conversations with peers and adults, using age-appropriate vocabulary on topics and texts."
a.,"Follow agreed-upon rules for discussions such as listening to others, raising hands, and taking turns speaking during discussion."
b.,Continue a conversation through multiple exchanges and gain attention appropriately.
c.,Express own ideas in small and large groups.
Standard K.SL.2,"Speak clearly and audibly while expressing thoughts, emotions, and ideas."
Standard K.SL.3,"Use age-appropriate language, grammar, volume, and pronunciation when speaking or presenting and use visual displays, when appropriate, to describe information to others."

# Table: Strand 2: READING (K.R)
Standard,Description
Standard K.R.1,Mastered in preschool.
Standard K.R.2,Demonstrate mastery of age-appropriate phonological awareness skills.
a.,Blend and segment words at the syllable level.
b.,"Identify the initial, medial, and final sound in 2-3 phoneme words."
c.,Substitute and delete one base part in a compound word.
csv
Standard,Description
K.R.3,Demonstrate mastery of age-appropriate phonics skills.
,a. Demonstrate mastery of all consonant names and sounds using one-to-one letter-sound correspondence (alphabetic principle).
,"b. Demonstrate mastery of short vowel sounds (/ă/, /ě/, /ĭ/, /ŏ/, /ŭ/) in isolation and in VC and CVC words in single-syllable words."
,"c. Demonstrate mastery of long vowel sounds (/ā/, /ē/, /ī/, /ō/, /ū/) associated with single letters; open syllables in single-syllable words (e.g., be, I, no)."
,d. Demonstrate mastery of segmenting and blending sounds in VC and CVC words when reading.
,e. Read and spell common irregular words.
K.R.4,Read grade-level text* with accuracy and fluency to support comprehension. (RL & RI)
K.R.5,"With prompting and support, ask and answer questions about key details in a text. (RL & RI)"
K.R.6,Retell familiar stories. (RL)
,Share key details from a text. (RI)
K.R.7,"Identify the characters, settings, and important events in a story (RL) or pieces of information in a text. (RI)"
K.R.8,Ask and answer questions about unknown words in a text. (RL & RI)
K.R.9,Determine or clarify the meaning of multiple-meaning words and phrases in context. (RL & RI)
K.R.10,Begins in grade 1.
K.R.11,Begins in grade 4.
K.R.12,Begins in grade 2.
K.R.13,Begins in grade 2.
K.R.14,Begins in grade 2.
csv
Standard,Description
Standard K.W.1,"Use a combination of drawing and writing to compose opinion pieces that provide a topic and an opinion.
a. Write, produce, and expand a complete sentence.
b. Use appropriate capitalization and end punctuation."
Standard K.W.2,"Use a combination of drawing and writing to compose informative/explanatory pieces and provide information about the topic.
a. Write, produce, and expand a complete sentence.
b. Use appropriate capitalization and end punctuation."
Standard K.W.3,"Use a combination of drawing and writing to compose narrative pieces about an event. Provide details about the event in the appropriate sequence and a reaction to what happened.
a. Write, produce, and expand a complete sentence.
b. Use appropriate capitalization and end punctuation."
Standard K.W.4,"Participate in shared writing projects.
a. Recall information from experiences or learned information.
b. Interact and collaborate with others throughout the writing process."
Standard K.W.5,Legibly write all upper- and lowercase manuscript letters.
csv
,
# Strand 1: SPEAKING AND LISTENING (1.SL)
Standard 1.SL.1,"Participate effectively in a range of conversations with various partners, using age-appropriate vocabulary on topics and texts.
a. Continue a conversation through multiple exchanges while using appropriate tone and body language.
b. Express own ideas clearly in small and large groups and build on others' ideas."
Standard 1.SL.2,"Speak clearly and audibly while expressing thoughts, emotions, and ideas while asking and answering questions."
