There is no tabular data in this image.
csv
# No tables found in this document
There is no tabular data in this image.
csv
District,Name,City
District 1,Jennie L. Earl,"Morgan, UT"
District 2,Joseph Kerry,"Ogden, UT"
District 3,Brent Strate,"South Ogden, UT"
District 4,Leann Wood,"Kaysville, UT"
District 5,Sarah Reale,"Salt Lake City, UT"
District 6,Carol Barlow Lear,"Salt Lake City, UT"
District 7,Molly Hart,"Sandy, UT"
District 8,Christina Boggess,"Taylorsville, UT"
District 9,Natalie Cline,"Bluffdale, UT"
District 10,Matt Hymas,"Magna, UT"
District 11,Cindy Davis,"Cedar Hills, UT"
District 12,James Moss Jr.,"Midway, UT"
District 13,Randy Boothe,"Spanish Fork, UT"
District 14,Emily Green,"Cedar City, UT"
District 15,Kristan Norton,"St. George, UT"
,Sydnee Dickson,State Superintendent of Public Instruction
,Cybil Child,Secretary to the Board
csv
# No tables found in this document
csv
,
Utah Science with Engineering Education (SEEd) Standards.,9
Principles of Scientific Literacy.,9
Principles of Science Learning,10
Three Dimensions of Science,11
"Articulation of SEPs, CCCs, and DCIs (diagram)",12
Organization of Standards.,13
Example of SEEd Standard (diagram),14
Goal of the SEEd Standards.,15
Kindergarten,17
Grade One,21
Grade Two,25
Grade Three,29
Grade Four.,33
Grade Five,39
Grade Six,43
Grade Seven,49
Grade Eight.,55
Biology,63
Chemistry,69
Earth and Space Science,77
Physics.,85
Utah High School Supplemental SEEd Standards.,93
Introduction.,95
Astronomy.,105
Botany.,107
csv
Subject,Page
Environmental Science,113
Genetics,119
Geology,123
Human Anatomy,129
Marine Science,135
Meteorology,139
Wildlife Biology,143
Zoology,149
Appendix,153
csv
Science and Engineering Practices,Crosscutting Concepts,Disciplinary Core Ideas
"Asking questions or defining problems:
Students engage in asking test-
able questions and defining prob-
lems to pursue understandings of
phenomena.","Patterns:
Students observe pat-
terns to organize and clas-
sify factors that influence
relationships","Physical Sciences:
(PS1) Matter and Its
Interactions
(PS2) Motion and
Stability: Forces and
Interactions
(PS3) Energy
(PS4) Waves"
"Developing and using models:
Students develop physical, conceptual,
and other models to represent relation-
ships, explain mechanisms, and predict
outcomes.","Cause and effect:
Students investigate and
explain causal relationships
in order to make tests and
predictions.","Life Sciences:
(LS1) Molecules to
Organisms
(LS2) Ecosystems
(LS3) Heredity
(LS4) Biological Evolution"
"Planning and carrying out
investigations:
Students plan and conduct scientific in-
vestigations in order to test, revise, or de-
velop explanations.","Scale, proportion, and
quantity:
Students compare the
scale, proportions, and
quantities of measure-
ments within and between
various systems.","Earth and Space Sciences:
(ESS1) Earth's Place in the
Universe
(ESS2) Earth's Systems
(ESS3) Earth and Human
Activity"
"Analyzing and interpreting data:
Students analyze various types of data in
order to create valid interpretations or to
assess claims/conclusions.","Systems and system models:
Students use models to ex-
plain the parameters and
relationships that describe
complex systems.","Engineering Design:
(ETS1.A) Defining and
Delimiting an
Engineering
Problem
(ETS1.B) Developing
Possible
Solutions
(ETS1.C) Optimizing the
Design Solution"
"Using mathematics and computational
thinking:
Students use fundamental tools in sci-
ence to compute relationships and inter-
pret results.","Energy and matter:
Students describe cycling
of matter and flow of ener-
gy through systems, includ-
ing transfer, transformation,
and conservation of energy
and matter.",
"Constructing explanations and design-
ing solutions:
Students construct explanations about
the world and design solutions to prob-
lems using observations that are consis-
tent with current evidence and scientific
principles.","Structure and function:
Students relate the shape
and structure of an object
or living thing to its proper-
ties and functions.",
"Engaging in argument from evidence:
Students support their best explanations
with lines of reasoning using evidence to
defend their claims.","Stability and change:
Students evaluate how and
why a natural or construct-
ed system can change or
remain stable over time.",
"Obtaining, evaluating, and communi-
cating information:
Students obtain, evaluate, and derive
meaning from scientific information or
presented evidence using appropriate
scientific language. They communicate
their findings clearly and persuasively in
a variety of ways including written text,
graphs, diagrams, charts, tables, or orally.",
csv
# No tables found in the document
csv
# No tables found in the document
csv
# Strand K.1: WEATHER PATTERNS
Standard,Description
Standard K.1.1,"Obtain, evaluate, and communicate information about local, observable weather conditions to describe patterns over time. Emphasize the students' collection and sharing of data. Examples of data could include sunny, cloudy, windy, rainy, cold, or warm. (ESS2.D)"
